cityName,  cname, code
beijing   ,北京   ,1100
shanghai  ,上海   ,3100
guangzhou ,广州   ,4401
shenzhen  ,深圳   ,4403
wuhan     ,武汉   ,4201
tianjin   ,天津   ,1200
nanjing   ,南京   ,3201
chongqing ,重庆   ,5000
hangzhou  ,杭州   ,3301
shenyang  ,沈阳   ,2101
dalian    ,大连   ,2102
chengdu   ,成都   ,5101
changchun ,长春   ,2201
suzhou    ,苏州   ,3205
foshan    ,佛山   ,4406
kunming   ,昆明   ,5301
xian      ,西安   ,6101
zhengzhou ,郑州   ,4101
changsha  ,长沙   ,4301
ningbo    ,宁波   ,3302
wuxi      ,无锡   ,3202
qingdao   ,青岛   ,3702
nanchang  ,南昌   ,3601
fuzhou    ,福州   ,3501
dongguan  ,东莞   ,4419
nanning   ,南宁   ,4501
hefei     ,合肥   ,3401
guiyang   ,贵阳   ,5201
xiamen    ,厦门   ,3502
haerbin   ,哈尔滨  ,2301
shijiazhuang,石家庄  ,1301
wulumuqi  ,乌鲁木齐 ,6501
wenzhou   ,温州   ,3303
jinan     ,济南   ,3701
lanzhou   ,兰州   ,6201
changzhou ,常州   ,3204
xuzhou    ,徐州   ,3203
taiyuan   ,太原   ,1401
huhehaote ,呼和浩特 ,1501